Event,Date,Result,WhiteElo,BlackElo,ECO,TimeControl
Bundesliga 9900,2000.01.08,1-0,2668,2637,C91,
Bundesliga 9900,2000.01.29,1-0,2625,2694,D00,
Bundesliga 9900,2000.01.29,1/2-1/2,2640,2668,D15,
Bundesliga 9900,2000.01.29,1/2-1/2,2751,2622,B12,
Bundesliga 9900,2000.01.29,1-0,2630,2656,E42,
Bundesliga 9900,2000.01.29,1/2-1/2,2618,2620,A05,
Bundesliga 9900,2000.01.29,1/2-1/2,2614,2625,E11,
Bundesliga 9900,2000.01.30,1/2-1/2,2628,2667,B14,
Bundesliga 9900,2000.01.30,0-1,2609,2630,B90,
Bundesliga 9900,2000.01.30,1/2-1/2,2620,2602,D10,
Bundesliga 9900,2000.02.19,1/2-1/2,2622,2667,E12,
Bundesliga 9900,2000.02.19,1/2-1/2,2620,2640,C92,
Bundesliga 9900,2000.02.19,0-1,2668,2751,C02,
Bundesliga 9900,2000.02.20,1/2-1/2,2628,2602,D27,
Bundesliga 9900,2000.02.20,1-0,2694,2630,D20,
Bundesliga 9900,2000.02.20,1/2-1/2,2751,2637,C78,
Bundesliga 9900,2000.03.12,0-1,2667,2668,E69,
Bundesliga 9900,2000.03.12,1/2-1/2,2751,2640,C41,
Bundesliga 9900,2000.03.12,1-0,2655,2611,B81,
Bundesliga 9900,2000.03.12,1-0,2620,2628,C42,
Bundesliga 9900,2000.03.13,1/2-1/2,2655,2655,E32,
Bundesliga 9900,2000.03.13,1/2-1/2,2602,2622,D43,
Bundesliga 9900,2000.03.13,1-0,2629,2596,E38,
Bundesliga 9900,2000.03.13,1/2-1/2,2600,2650,A30,
Bundesliga 9900,2000.04.08,1/2-1/2,2598,2657,B12,
Bundesliga 9900,2000.04.08,1/2-1/2,2597,2659,D10,
Bundesliga 9900,2000.04.08,1/2-1/2,2596,2643,A85,
Bundesliga 9900,2000.04.08,0-1,2618,2758,D07,
Bundesliga 9900,2000.04.08,1/2-1/2,2633,2629,E12,
Bundesliga 9900,2000.04.09,1/2-1/2,2657,2597,E12,
Bundesliga 9900,2000.04.09,1/2-1/2,2636,2618,D07,
BL2-West 9900,2000.01.30,1/2-1/2,2619,2650,E48,
AUT-chT 9900,2000.01.14,1-0,2629,2606,A42,
AUT-chT 9900,2000.03.17,1-0,2664,2629,B00,
Pamplona,2000.01.02,1/2-1/2,2671,2663,C92,
Pamplona,2000.01.02,1-0,2675,2713,B33,
Pamplona,2000.01.02,1/2-1/2,2650,2600,D15,
Pamplona,2000.01.03,1-0,2713,2650,A17,
Pamplona,2000.01.03,0-1,2600,2671,A35,
Pamplona,2000.01.04,0-1,2638,2675,D58,
Pamplona,2000.01.04,0-1,2671,2713,B23,
Pamplona,2000.01.05,1/2-1/2,2663,2638,B33,
Pamplona,2000.01.05,1-0,2675,2650,C72,
CRO-Cup,2000.01.01,1/2-1/2,2611,2670,B42,
Harry Lyman op 3rd,2000.01.01,1/2-1/2,2610,2640,C55,
Harry Lyman op 3rd,2000.01.01,1/2-1/2,2640,2605,E15,
Porzellan Cup,2000.01.01,1-0,2750,2675,C92,
Porzellan Cup,2000.01.01,1/2-1/2,2675,2750,C13,
Budapest m,2000.01.03,1/2-1/2,2628,2701,D97,
Budapest m,2000.01.04,1-0,2701,2628,B42,
Budapest m,2000.01.05,1/2-1/2,2628,2701,D97,
Budapest m,2000.01.07,1-0,2701,2628,C13,
Budapest m,2000.01.08,1/2-1/2,2628,2701,D70,
Budapest m,2000.01.09,1-0,2701,2628,C83,
Hastings 00 75th,2000.01.04,1/2-1/2,2637,2604,A40,
Hastings 00 75th,2000.01.05,1/2-1/2,2604,2680,A11,
Hastings 00 75th,2000.01.07,1/2-1/2,2597,2680,B12,
Hastings 00 75th,2000.01.09,0-1,2637,2680,D43,
Hastings 00 75th,2000.01.09,1/2-1/2,2604,2597,A48,
Hastings 00 75th,2000.01.11,0-1,2637,2597,D90,
ARM-ch,2000.09.03,1/2-1/2,2595,2598,C01,
CRO-chT,2000.09.13,0-1,2608,2668,B84,
CRO-chT,2000.09.17,1-0,2677,2668,A28,
CRO-chT,2000.09.19,1/2-1/2,2677,2608,B25,
FIDE World Cup-A,2000.09.01,1/2-1/2,2676,2756,A85,
FIDE World Cup-A,2000.09.01,1/2-1/2,2633,2643,C65,
FIDE World Cup-A,2000.09.02,1/2-1/2,2643,2673,D27,
FIDE World Cup-A,2000.09.02,1/2-1/2,2633,2676,B19,
FIDE World Cup-A,2000.09.03,1-0,2673,2756,D39,
FIDE World Cup-A,2000.09.03,1/2-1/2,2676,2643,E11,
FIDE World Cup-A,2000.09.04,1/2-1/2,2643,2756,A13,
FIDE World Cup-A,2000.09.04,1/2-1/2,2633,2673,C76,
FIDE World Cup-A,2000.09.05,1/2-1/2,2673,2676,D10,
FIDE World Cup-A,2000.09.05,0-1,2756,2633,B30,
FIDE World Cup-B,2000.09.01,1/2-1/2,2667,2670,A16,
FIDE World Cup-B,2000.09.01,1/2-1/2,2719,2677,E34,
FIDE World Cup-B,2000.09.01,1/2-1/2,2668,2630,E97,
FIDE World Cup-B,2000.08.02,1-0,2668,2667,D43,
FIDE World Cup-B,2000.09.02,1/2-1/2,2630,2677,C08,
FIDE World Cup-B,2000.09.02,1/2-1/2,2670,2719,C67,
FIDE World Cup-B,2000.09.03,1-0,2667,2630,A34,
FIDE World Cup-B,2000.09.03,1/2-1/2,2719,2668,D41,
FIDE World Cup-B,2000.09.03,0-1,2677,2670,B25,
FIDE World Cup-B,2000.09.04,1/2-1/2,2667,2719,E32,
FIDE World Cup-B,2000.09.04,1/2-1/2,2630,2670,B48,
FIDE World Cup-B,2000.09.04,0-1,2668,2677,A40,
FIDE World Cup-B,2000.09.05,1-0,2719,2630,E90,
FIDE World Cup-B,2000.09.05,1-0,2677,2667,C13,
FIDE World Cup-B,2000.09.05,1-0,2670,2668,B70,
FIDE World Cup-C,2000.09.01,1-0,2689,2646,B76,
FIDE World Cup-C,2000.09.01,1/2-1/2,2636,2666,B85,
FIDE World Cup-C,2000.09.02,1/2-1/2,2666,2702,B19,
FIDE World Cup-C,2000.09.02,0-1,2689,2636,C65,
FIDE World Cup-C,2000.09.03,1/2-1/2,2702,2689,D73,
FIDE World Cup-C,2000.09.03,0-1,2636,2646,C00,
FIDE World Cup-C,2000.09.04,1/2-1/2,2646,2666,B48,
FIDE World Cup-C,2000.09.04,1/2-1/2,2636,2702,C01,
FIDE World Cup-C,2000.09.05,1-0,2702,2646,E73,
FIDE World Cup-C,2000.09.05,1/2-1/2,2666,2689,D14,
FIDE World Cup-D,2000.09.01,1/2-1/2,2681,2620,B32,
FIDE World Cup-D,2000.09.01,1/2-1/2,2667,2657,D20,
FIDE World Cup-D,2000.09.02,1-0,2760,2665,B80,
FIDE World Cup-D,2000.09.02,1/2-1/2,2657,2681,A33,
