Event,Date,Result,WhiteElo,BlackElo,ECO,TimeControl
Match/City Moscow-Budapest 87-41 ,1949.04.03,1/2-1/2,,,C66,
Match/City Moscow-Budapest 87-41 ,1949.04.06,0-1,,,E01,
Match/City Moscow-Budapest 87-41 ,1949.04.06,1-0,,,E61,
Match/City Moscow-Budapest 87-41 ,1949.04.06,1/2-1/2,,,D31,
Match/City Moscow-Budapest 87-41 ,1949.04.06,1/2-1/2,,,B73,
Match/City Moscow-Budapest 87-41 ,1949.04.06,1/2-1/2,,,E68,
Match/City Moscow-Budapest 87-41 ,1949.04.06,1-0,,,D43,
Match/City Moscow-Budapest 87-41 ,1949.04.06,0-1,,,B25,
Match/City Moscow-Budapest 87-41 ,1949.04.07,1/2-1/2,,,B85,
Match/City Moscow-Budapest 87-41 ,1949.04.07,1-0,,,C04,
Match/City Moscow-Budapest 87-41 ,1949.04.07,1-0,,,D94,
Match/City Moscow-Budapest 87-41 ,1949.04.07,1/2-1/2,,,D97,
Match/City Moscow-Budapest 87-41 ,1949.04.07,1-0,,,C49,
Match/City Moscow-Budapest 87-41 ,1949.04.07,1/2-1/2,,,D88,
Match/City Moscow-Budapest 87-41 ,1949.04.07,1/2-1/2,,,D97,
Match/City Moscow-Budapest 87-41 ,1949.04.07,1/2-1/2,,,D96,
Match/City Moscow-Budapest 87-41 ,1949.04.07,0-1,,,E49,
Match/City Moscow-Budapest 87-41 ,1949.04.10,1-0,,,C97,
Match/City Moscow-Budapest 87-41 ,1949.04.10,1-0,,,D02,
Match/City Moscow-Budapest 87-41 ,1949.04.10,1/2-1/2,,,D73,
Match/City Moscow-Budapest 87-41 ,1949.04.10,1-0,,,D31,
Match/City Moscow-Budapest 87-41 ,1949.04.10,1/2-1/2,,,D22,
Match/City Moscow-Budapest 87-41 ,1949.04.10,1/2-1/2,,,D94,
Match/City Moscow-Budapest 87-41 ,1949.04.10,1/2-1/2,,,E41,
Match/City Moscow-Budapest 87-41 ,1949.04.10,1/2-1/2,,,E16,
Match/City Moscow-Budapest 87-41 ,1949.04.11,1-0,,,E94,
Match/City Moscow-Budapest 87-41 ,1949.04.11,1/2-1/2,,,D68,
Match/City Moscow-Budapest 87-41 ,1949.04.11,1/2-1/2,,,B28,
Match/City Moscow-Budapest 87-41 ,1949.04.11,1/2-1/2,,,E21,
Match/City Moscow-Budapest 87-41 ,1949.04.11,1/2-1/2,,,D47,
Match/City Moscow-Budapest 87-41 ,1949.04.11,1/2-1/2,,,E90,
Match/City Moscow-Budapest 87-41 ,1949.04.11,0-1,,,E21,
Match/City Moscow-Budapest 87-41 ,1949.04.11,0-1,,,A06,
Match/City Moscow-Budapest 87-41 ,1949.04.14,0-1,,,B11,
Match/City Moscow-Budapest 87-41 ,1949.04.14,0-1,,,A12,
Match/City Moscow-Budapest 87-41 ,1949.04.14,1/2-1/2,,,A29,
Match/City Moscow-Budapest 87-41 ,1949.04.14,1-0,,,E69,
Match/City Moscow-Budapest 87-41 ,1949.04.14,1/2-1/2,,,A27,
Match/City Moscow-Budapest 87-41 ,1949.04.14,0-1,,,E18,
Match/City Moscow-Budapest 87-41 ,1949.04.14,1-0,,,E39,
Match/City Moscow-Budapest 87-41 ,1949.04.15,1/2-1/2,,,E38,
Match/City Moscow-Budapest 87-41 ,1949.04.15,1/2-1/2,,,D45,
Match/City Moscow-Budapest 87-41 ,1949.04.15,1/2-1/2,,,B83,
Match/City Moscow-Budapest 87-41 ,1949.04.15,1/2-1/2,,,B30,
Match/City Moscow-Budapest 87-41 ,1949.04.15,1-0,,,B12,
Match/City Moscow-Budapest 87-41 ,1949.04.15,1/2-1/2,,,C98,
Match/City Moscow-Budapest 87-41 ,1949.04.15,1/2-1/2,,,C84,
