Event,Date,Result,WhiteElo,BlackElo,TimeControl
WchT Students 10th final B,1963.07.20,1/2-1/2,,,
WchT Students 10th final B,1963.07.20,1-0,,,
WchT Students 10th final B,1963.07.20,0-1,,,
WchT Students 10th final B,1963.07.20,1/2-1/2,,,
WchT Students 10th final B,1963.07.20,1-0,,,
WchT Students 10th final B,1963.07.20,0-1,,,
WchT Students 10th final B,1963.07.20,1-0,,,
Europe West Team U20-04,1963.??.??,0-1,,,
Europe West Team U20-04,1963.??.??,1-0,,,
Europe West Team U20-04,1963.??.??,0-1,,,
Europe West Team U20-04,1963.??.??,0-1,,,
Europe West Team U20-04,1963.??.??,0-1,,,
Europe West Team U20-04,1963.??.??,1-0,,,
Europe West Team U20-04,1963.??.??,0-1,,,
Europe West Team U20-04,1963.??.??,1-0,,,
Europe West Team U20-04,1963.??.??,0-1,,,
Europe West Team U20-04,1963.??.??,0-1,,,
Europe West Team U20-04,1963.??.??,0-1,,,
Europe West Team U20-04,1963.??.??,1-0,,,
Europe West Team U20-04,1963.07.17,1-0,,,
Europe West Team U20-04,1963.07.18,0-1,,,
Europe West Team U20-04,1963.07.19,1-0,,,
Europe West Team U20-04,1963.07.20,1-0,,,
Europe West Team U20-04,1963.07.20,1-0,,,
Europe West Team U20-04,1963.07.22,1-0,,,
Europe West Team U20-04,1963.07.24,0-1,,,
Nordic-ch27,1963.07.22,1-0,,,
Nordic-ch27,1963.07.22,1-0,,,
Nordic-ch27,1963.07.22,1-0,,,
Nordic-ch27,1963.07.24,1-0,,,
Nordic-ch27,1963.07.25,0-1,,,
Nordic-ch27,1963.07.27,0-1,,,
Nordic-ch27,1963.07.30,1/2-1/2,,,
Goelzau clock sim,1964.07.27,1-0,,,
YUG Junior-ch,1963.08.01,0-1,,,
YUG Junior-ch,1963.08.01,1/2-1/2,,,
YUG Junior-ch,1963.08.01,1/2-1/2,,,
YUG Junior-ch,1963.08.01,1/2-1/2,,,
YUG Junior-ch,1963.08.01,1/2-1/2,,,
YUG Junior-ch,1963.08.01,0-1,,,
YUG Junior-ch,1963.08.01,0-1,,,
YUG Junior-ch,1963.08.01,0-1,,,
YUG Junior-ch,1963.08.02,1-0,,,
YUG Junior-ch,1963.08.02,0-1,,,
YUG Junior-ch,1963.08.02,1-0,,,
YUG Junior-ch,1963.08.02,1-0,,,
YUG Junior-ch,1963.08.02,1-0,,,
YUG Junior-ch,1963.08.02,0-1,,,
YUG Junior-ch,1963.08.02,1-0,,,
YUG Junior-ch,1963.08.02,1-0,,,
YUG Junior-ch,1963.08.03,0-1,,,
YUG Junior-ch,1963.08.03,1-0,,,
YUG Junior-ch,1963.08.03,0-1,,,
YUG Junior-ch,1963.08.03,1-0,,,
YUG Junior-ch,1963.08.03,0-1,,,
YUG Junior-ch,1963.08.03,1-0,,,
YUG Junior-ch,1963.08.03,1-0,,,
YUG Junior-ch,1963.08.03,0-1,,,
YUG Junior-ch,1963.08.05,1/2-1/2,,,
YUG Junior-ch,1963.08.05,1-0,,,
YUG Junior-ch,1963.08.05,0-1,,,
YUG Junior-ch,1963.08.05,1/2-1/2,,,
YUG Junior-ch,1963.08.05,1-0,,,
YUG Junior-ch,1963.08.05,1-0,,,
YUG Junior-ch,1963.08.05,1-0,,,
YUG Junior-ch,1963.08.05,0-1,,,
YUG Junior-ch,1963.08.06,1/2-1/2,,,
YUG Junior-ch,1963.08.06,0-1,,,
YUG Junior-ch,1963.08.06,1/2-1/2,,,
YUG Junior-ch,1963.08.06,1-0,,,
YUG Junior-ch,1963.08.06,1-0,,,
YUG Junior-ch,1963.08.06,1/2-1/2,,,
YUG Junior-ch,1963.08.06,1/2-1/2,,,
YUG Junior-ch,1963.08.06,0-1,,,
YUG Junior-ch,1963.08.07,1-0,,,
YUG Junior-ch,1963.08.07,0-1,,,
YUG Junior-ch,1963.08.07,1-0,,,
YUG Junior-ch,1963.08.07,1-0,,,
YUG Junior-ch,1963.08.07,1-0,,,
YUG Junior-ch,1963.08.07,1-0,,,
YUG Junior-ch,1963.08.07,1/2-1/2,,,
YUG Junior-ch,1963.08.07,0-1,,,
YUG Junior-ch,1963.08.09,1-0,,,
YUG Junior-ch,1963.08.09,0-1,,,
YUG Junior-ch,1963.08.09,1/2-1/2,,,
YUG Junior-ch,1963.08.09,1-0,,,
YUG Junior-ch,1963.08.09,1-0,,,
YUG Junior-ch,1963.08.09,1/2-1/2,,,
YUG Junior-ch,1963.08.09,0-1,,,
YUG Junior-ch,1963.08.09,1-0,,,
YUG Junior-ch,1963.08.10,0-1,,,
YUG Junior-ch,1963.08.10,1/2-1/2,,,
YUG Junior-ch,1963.08.10,1-0,,,
YUG Junior-ch,1963.08.10,1/2-1/2,,,
YUG Junior-ch,1963.08.10,0-1,,,
YUG Junior-ch,1963.08.10,1/2-1/2,,,
YUG Junior-ch,1963.08.10,1-0,,,
YUG Junior-ch,1963.08.10,1-0,,,
YUG Junior-ch,1963.08.11,1-0,,,
YUG Junior-ch,1963.08.11,0-1,,,
YUG Junior-ch,1963.08.11,1-0,,,
YUG Junior-ch,1963.08.11,1/2-1/2,,,
YUG Junior-ch,1963.08.11,1/2-1/2,,,
YUG Junior-ch,1963.08.11,0-1,,,
YUG Junior-ch,1963.08.11,0-1,,,
YUG Junior-ch,1963.08.11,0-1,,,
YUG Junior-ch,1963.08.13,1-0,,,
YUG Junior-ch,1963.08.13,1-0,,,
YUG Junior-ch,1963.08.13,1-0,,,
YUG Junior-ch,1963.08.13,1/2-1/2,,,
YUG Junior-ch,1963.08.13,1/2-1/2,,,
YUG Junior-ch,1963.08.13,0-1,,,
YUG Junior-ch,1963.08.13,1/2-1/2,,,
YUG Junior-ch,1963.08.13,1-0,,,
YUG Junior-ch,1963.08.14,1-0,,,
YUG Junior-ch,1963.08.14,1-0,,,
YUG Junior-ch,1963.08.14,1-0,,,
YUG Junior-ch,1963.08.14,1/2-1/2,,,
YUG Junior-ch,1963.08.14,1-0,,,
YUG Junior-ch,1963.08.14,0-1,,,
YUG Junior-ch,1963.08.14,1/2-1/2,,,
YUG Junior-ch,1963.08.14,1/2-1/2,,,
YUG Junior-ch,1963.08.15,0-1,,,
YUG Junior-ch,1963.08.15,1-0,,,
YUG Junior-ch,1963.08.15,1-0,,,
YUG Junior-ch,1963.08.15,1/2-1/2,,,
YUG Junior-ch,1963.08.15,1/2-1/2,,,
YUG Junior-ch,1963.08.15,1-0,,,
YUG Junior-ch,1963.08.15,1/2-1/2,,,
YUG Junior-ch,1963.08.15,0-1,,,
YUG Junior-ch,1963.08.17,1-0,,,
YUG Junior-ch,1963.08.17,1/2-1/2,,,
YUG Junior-ch,1963.08.17,1-0,,,
YUG Junior-ch,1963.08.17,1/2-1/2,,,
YUG Junior-ch,1963.08.17,1/2-1/2,,,
YUG Junior-ch,1963.08.17,0-1,,,
YUG Junior-ch,1963.08.17,1-0,,,
YUG Junior-ch,1963.08.17,1/2-1/2,,,
YUG Junior-ch,1963.08.18,1-0,,,
YUG Junior-ch,1963.08.18,1/2-1/2,,,
YUG Junior-ch,1963.08.18,0-1,,,
YUG Junior-ch,1963.08.18,1-0,,,
YUG Junior-ch,1963.08.18,0-1,,,
YUG Junior-ch,1963.08.18,1/2-1/2,,,
YUG Junior-ch,1963.08.18,1/2-1/2,,,
YUG Junior-ch,1963.08.18,0-1,,,
YUG Junior-ch,1963.08.20,1-0,,,
YUG Junior-ch,1963.08.20,0-1,,,
YUG Junior-ch,1963.08.20,1/2-1/2,,,
YUG Junior-ch,1963.08.20,1-0,,,
YUG Junior-ch,1963.08.20,1/2-1/2,,,
YUG Junior-ch,1963.08.20,0-1,,,
YUG Junior-ch,1963.08.20,1/2-1/2,,,
YUG Junior-ch,1963.08.20,1/2-1/2,,,
Scotland CA-70 Championship,1963.08.03,1-0,,,
Scotland CA-70 Championship,1963.08.05,1-0,,,
Scotland CA-70 Championship,1963.08.05,1-0,,,
Scotland CA-70 Championship,1963.08.06,0-1,,,
Scotland CA-70 Championship,1963.08.07,1-0,,,
Scotland CA-70 Championship,1963.08.08,0-1,,,
Scotland CA-70 Championship,1963.08.09,1/2-1/2,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.04,0-1,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.04,0-1,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.04,1/2-1/2,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.04,1/2-1/2,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.04,0-1,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.04,1-0,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.04,1/2-1/2,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.04,1-0,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.05,1/2-1/2,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.05,1/2-1/2,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.05,1/2-1/2,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.05,1/2-1/2,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.05,0-1,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.05,0-1,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.05,1/2-1/2,,,
Match/Club Copenhagen-Hamburger SK ,1963.08.05,0-1,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.04,1-0,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.04,1-0,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.04,1-0,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.04,1/2-1/2,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.04,1/2-1/2,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.04,0-1,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.04,0-1,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.04,1/2-1/2,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.05,0-1,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.05,1-0,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.05,1/2-1/2,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.05,1/2-1/2,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.05,1-0,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.05,0-1,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.05,0-1,,,
Match/Club Wasa Stockholm-Hamburger SK,1963.08.05,1-0,,,
Rubinstein Memorial-01,1963.08.05,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.05,1-0,,,
Rubinstein Memorial-01,1963.08.05,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.05,1-0,,,
Rubinstein Memorial-01,1963.08.05,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.05,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.05,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.05,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.06,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.06,0-1,,,
Rubinstein Memorial-01,1963.08.06,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.06,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.06,1-0,,,
Rubinstein Memorial-01,1963.08.06,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.06,0-1,,,
Rubinstein Memorial-01,1963.08.06,1-0,,,
Rubinstein Memorial-01,1963.08.07,1-0,,,
Rubinstein Memorial-01,1963.08.07,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.07,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.07,1-0,,,
Rubinstein Memorial-01,1963.08.07,0-1,,,
Rubinstein Memorial-01,1963.08.07,1-0,,,
Rubinstein Memorial-01,1963.08.07,1-0,,,
Rubinstein Memorial-01,1963.08.07,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.09,0-1,,,
Rubinstein Memorial-01,1963.08.09,1-0,,,
Rubinstein Memorial-01,1963.08.09,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.09,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.09,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.09,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.09,1-0,,,
Rubinstein Memorial-01,1963.08.09,0-1,,,
Rubinstein Memorial-01,1963.08.10,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.10,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.10,0-1,,,
Rubinstein Memorial-01,1963.08.10,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.10,0-1,,,
Rubinstein Memorial-01,1963.08.10,0-1,,,
Rubinstein Memorial-01,1963.08.10,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.10,1-0,,,
Rubinstein Memorial-01,1963.08.11,0-1,,,
Rubinstein Memorial-01,1963.08.11,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.11,1-0,,,
Rubinstein Memorial-01,1963.08.11,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.11,1-0,,,
Rubinstein Memorial-01,1963.08.11,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.11,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.11,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.13,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.13,0-1,,,
Rubinstein Memorial-01,1963.08.13,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.13,0-1,,,
Rubinstein Memorial-01,1963.08.13,1-0,,,
Rubinstein Memorial-01,1963.08.13,0-1,,,
Rubinstein Memorial-01,1963.08.13,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.13,0-1,,,
Rubinstein Memorial-01,1963.08.14,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.14,1-0,,,
Rubinstein Memorial-01,1963.08.14,0-1,,,
Rubinstein Memorial-01,1963.08.14,0-1,,,
Rubinstein Memorial-01,1963.08.14,1-0,,,
Rubinstein Memorial-01,1963.08.14,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.14,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.14,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.15,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.15,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.15,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.15,1-0,,,
Rubinstein Memorial-01,1963.08.15,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.15,0-1,,,
Rubinstein Memorial-01,1963.08.15,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.15,0-1,,,
Rubinstein Memorial-01,1963.08.17,0-1,,,
Rubinstein Memorial-01,1963.08.17,0-1,,,
Rubinstein Memorial-01,1963.08.17,1-0,,,
Rubinstein Memorial-01,1963.08.17,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.17,1/2-1/2,,,
Rubinstein Memorial-01,1963.08.17,1/2-1/2,,,
